ResponseId_x,Location,Gender,HouseholdNumber,Education,Greywater,Toilet button,Showerhead,Watersaving toilet,1:NumberOfShowers,1:ShowerDuration,1:Turnwateroff,1:NumberOfWashing,1:WashMode,1:FullWash,1:FlushButton,2:NumberOfShowers,2:ShowerDuration,2:Turnwateroff,2:NumberOfWashing,2:WashMode,2:FullWash,2:FlushButton,EFTtype,Vivid,3:NumberOfShowers,3:ShowerDuration,3:Turnwateroff,3:NumberOfWashing,3:WashMode,3:FullWash,3:FlushButton,ED50_T1,k_T1,ED50_T2,k_T2,ED50_T3,k_T3,age
R_2V8B4Ah3bzICOp2,Utrecht,Man,2,Master’s degree or higher (HBO or WO),Yes,Yes,Water-saving showerhead,Yes,3,3,5,3.0,4,3,5,3,3,5,3.0,5,3,5,I wrote my experience down,Vivid,3,5,5,2.0,5,3,5,298.2,0.0033534540576794,298.2,0.0033534540576794,298.2,0.0033534540576794,78
R_8xGM3gxPczWAYNz,Flevoland,Woman,3,Bachelor’s degree (HBO or WO),I do not know,Yes,Rain shower,No,4,15,4,4.0,5,4,3,3,10,4,3.0,5,5,3,I imagined the experience in my head,Vivid,3,10,5,3.0,5,5,4,298.2,0.0033534540576794,298.2,0.0033534540576794,894.7,0.0011176930814798,23
R_8MR63i4cO5OXcow,Zuid-Holland,Woman,4,Bachelor’s degree (HBO or WO),I do not know,Yes,I do not know,I do not know,6,5,1,2.0,4,5,5,6,3,3,2.0,5,5,5,I imagined the experience in my head,Slightly vivid,6,3,4,2.0,5,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,17.15,0.0583090379008746,22
R_7QzlTrkVOvXGk3F,Noord-Brabant,Man,7,Other,No,No,Standard showerhead,Yes,7,6,4,8.0,3,2,2,3,3,4,3.0,4,4,3,I drew my experience,Vivid,3,3,4,3.0,5,4,4,105.4,0.0094876660341555,3579.0,0.0002794076557697,298.2,0.0033534540576794,18
R_2GBWjdvvQKzxxoc,Flevoland,Man,3,Secondary education (High school),I do not know,Yes,Rain shower,Yes,1,11,5,2.0,5,5,5,1,9,5,2.0,5,5,5,I imagined the experience in my head,Not vivid at all,1,9,5,2.0,5,5,5,1265.0,0.000790513833992,1265.0,0.000790513833992,1265.0,0.000790513833992,29
R_2uNgwg9A4uPB3Kp,Flevoland,Woman,6,Vocational education (MBO),Yes,Yes,Water-saving showerhead,Yes,3,10,2,14.0,3,4,1,3,10,2,14.0,3,4,1,I imagined the experience in my head,Vivid,3,10,3,14.0,3,4,1,7748.0,0.0001290655653071,7748.0,0.0001290655653071,7748.0,0.0001290655653071,46
R_8hX4hJ5nyXk4sLh,Noord-Holland,Woman,1,Master’s degree or higher (HBO or WO),I do not know,Yes,Rain shower,No,7,7,1,2.0,3,3,4,7,6,2,3.0,2,3,3,I imagined the experience in my head,Moderately vivid,7,5,2,4.0,3,4,3,298.2,0.0033534540576794,0.7071,1.414227124876255,298.2,0.0033534540576794,30
R_8PTxoQoIa58BnW3,Overijssel,Woman,1,Secondary education (High school),I do not know,No,Standard showerhead,I do not know,7,10,5,3.0,4,5,5,7,10,5,3.0,5,5,5,I imagined the experience in my head,Moderately vivid,7,10,5,3.0,5,5,5,210.9,0.0047415836889521,210.9,0.0047415836889521,210.9,0.0047415836889521,24
R_82MkkAu4J3W92wL,Zuid-Holland,Man,4,Bachelor’s degree (HBO or WO),No,Yes,Standard showerhead,No,4,12,4,4.0,4,3,5,4,10,4,4.0,4,4,5,I wrote my experience down,Vivid,4,8,4,3.0,5,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,21
R_8rMMsjBrah4mDHs,Noord-Brabant,Woman,1,Bachelor’s degree (HBO or WO),No,Yes,I do not know,No,7,10,2,1.0,2,5,5,7,8,3,1.0,2,5,5,I imagined the experience in my head,Moderately vivid,7,6,3,1.0,2,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,24
R_2U041hYrv7x274t,Noord-Holland,Man,2,Master’s degree or higher (HBO or WO),No,Yes,Water-saving showerhead,No,3,10,5,4.0,5,4,5,4,10,5,4.0,5,4,5,I imagined the experience in my head,Vivid,4,10,5,4.0,5,5,5,894.7,0.0011176930814798,894.7,0.0011176930814798,894.7,0.0011176930814798,66
R_2gFKgUOe6aYlnTg,Zuid-Holland,Man,3,Master’s degree or higher (HBO or WO),I do not know,Yes,Rain shower,Yes,3,8,2,4.0,3,5,5,4,8,1,4.0,3,5,5,I imagined the experience in my head,Moderately vivid,4,8,1,4.0,4,5,5,43.05,0.0232288037166085,43.05,0.0232288037166085,17.15,0.0583090379008746,23
R_25ePWJwSAbv974R,Noord-Holland,Woman,2,Bachelor’s degree (HBO or WO),I do not know,Yes,Rain shower,No,4,3,2,3.0,4,4,4,4,3,3,3.0,4,4,5,I wrote my experience down,Moderately vivid,4,3,3,3.0,4,4,4,1265.0,0.000790513833992,894.7,0.0011176930814798,17.15,0.0583090379008746,23
R_2tKiEOyPQnXf9aP,Noord-Holland,Man,4,Bachelor’s degree (HBO or WO),I do not know,Yes,Standard showerhead,No,4,10,1,4.0,5,4,5,4,8,3,4.0,5,5,5,I wrote my experience down,Moderately vivid,4,6,5,4.0,5,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,22
R_8RsGS8JnCk26obn,Zuid-Holland,Man,4,Bachelor’s degree (HBO or WO),I do not know,No,Standard showerhead,No,12,15,1,7.0,3,4,5,12,10,2,7.0,4,5,4,I imagined the experience in my head,Very vivid,12,10,1,7.0,3,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,43.05,0.0232288037166085,22
R_2Cf68cRI6R6cn8R,Noord-Holland,Woman,3,Bachelor’s degree (HBO or WO),I do not know,Yes,I do not know,I do not know,4,15,2,1.0,1,4,2,4,15,5,1.0,2,4,2,I imagined the experience in my head,Slightly vivid,4,15,5,1.0,3,4,3,894.7,0.0011176930814798,1265.0,0.000790513833992,1265.0,0.000790513833992,23
R_8q3C0r6Xcc4sJtK,Flevoland,Man,10,Master’s degree or higher (HBO or WO),No,Yes,Standard showerhead,Yes,4,15,2,10.0,1,4,1,4,15,2,10.0,1,4,1,I imagined the experience in my head,Very vivid,4,15,2,10.0,1,4,1,298.2,0.0033534540576794,298.2,0.0033534540576794,298.2,0.0033534540576794,18
R_8sERQ5LZfMPWU4p,Noord-Holland,Man,3,Master’s degree or higher (HBO or WO),No,Yes,Water-saving showerhead,Yes,5,5,4,10.0,4,4,4,5,3,4,10.0,4,4,4,I imagined the experience in my head,Moderately vivid,5,3,4,8.0,4,4,4,210.9,0.0047415836889521,298.2,0.0033534540576794,17.15,0.0583090379008746,22
R_8soZCMHgmLwnMwX,Noord-Holland,Woman,4,Bachelor’s degree (HBO or WO),I do not know,No,Standard showerhead,I do not know,3,30,2,4.0,4,5,3,4,30,3,4.0,4,4,3,I imagined the experience in my head,Moderately vivid,3,30,3,4.0,4,4,3,894.7,0.0011176930814798,894.7,0.0011176930814798,894.7,0.0011176930814798,23
R_8tJi2sER1dV9X57,Zuid-Holland,Man,2,Master’s degree or higher (HBO or WO),No,Yes,Rain shower,I do not know,7,6,1,4.0,5,4,4,5,4,3,3.0,4,4,5,I imagined the experience in my head,Moderately vivid,5,4,3,3.0,4,4,5,9131.0,0.0001095170298981,9131.0,0.0001095170298981,9131.0,0.0001095170298981,37
R_8k7idr7qL0xWU8d,Flevoland,Woman,4,Bachelor’s degree (HBO or WO),Yes,No,Water-saving showerhead,I do not know,4,20,3,7.0,4,4,4,4,20,4,7.0,4,4,4,I imagined the experience in my head,Slightly vivid,4,15,4,7.0,4,4,4,516.5,0.0019361084220716,105.4,0.0094876660341555,516.5,0.0019361084220716,43
R_8HioV9G7bf6gHHb,Flevoland,Man,3,Master’s degree or higher (HBO or WO),No,Yes,Water-saving showerhead,I do not know,4,12,3,3.0,4,4,5,3,10,5,3.0,4,4,5,I imagined the experience in my head,Vivid,3,6,5,2.0,5,5,5,516.5,0.0019361084220716,1265.0,0.000790513833992,1265.0,0.000790513833992,45
R_8s5Xqr3ItdgWr8R,Gelderland,Woman,8,Vocational education (MBO),I do not know,Yes,Water-saving showerhead,No,3,15,2,6.0,4,5,5,3,15,4,6.0,5,5,5,I wrote my experience down,Moderately vivid,3,15,4,6.0,5,5,5,3579.0,0.0002794076557697,3579.0,0.0002794076557697,3579.0,0.0002794076557697,37
R_8luajblb5UwJN1n,Overijssel,Woman,2,Bachelor’s degree (HBO or WO),No,Yes,Rain shower,No,2,10,1,3.0,4,5,5,2,10,1,3.0,5,5,5,I wrote my experience down,Very vivid,2,5,3,2.0,5,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,37
R_83RTFjY1MbQ1vUJ,Flevoland,Man,3,Vocational education (MBO),No,Yes,Water-saving showerhead,No,7,5,1,5.0,3,4,4,5,5,1,4.0,3,4,5,I wrote my experience down,Vivid,7,5,1,4.0,4,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,47
R_2pXS7LCgvBGpaoC,Flevoland,Man,1,Secondary education (High school),I do not know,Yes,Water-saving showerhead,No,7,5,1,2.0,5,5,5,7,5,3,2.0,5,5,5,I imagined the experience in my head,Moderately vivid,7,5,1,2.0,5,5,5,298.2,0.0033534540576794,516.5,0.0019361084220716,516.5,0.0019361084220716,67
R_8N1eFmW9WF8TBdL,Flevoland,Woman,1,Bachelor’s degree (HBO or WO),I do not know,Yes,Water-saving showerhead,Yes,7,6,5,2.0,1,3,4,7,6,5,2.0,1,4,4,I imagined the experience in my head,Vivid,7,6,5,1.0,3,5,5,149.1,0.0067069081153588,149.1,0.0067069081153588,149.1,0.0067069081153588,67
R_20BJRghTa6w1R6z,Flevoland,Woman,4,Vocational education (MBO),I do not know,Yes,Standard showerhead,No,7,5,1,8.0,4,5,3,7,5,1,8.0,3,5,3,I imagined the experience in my head,Slightly vivid,7,5,1,8.0,3,5,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,36
R_8ix1MqSHDH1jFLs,Flevoland,Woman,1,Vocational education (MBO),No,No,Standard showerhead,No,4,10,1,2.0,2,5,4,4,10,1,2.0,1,5,4,I imagined the experience in my head,Moderately vivid,4,10,1,2.0,2,5,3,1.225,0.8163265306122448,1.225,0.8163265306122448,1.225,0.8163265306122448,62
R_25HhvO0PC3lqeTq,Flevoland,Man,1,Secondary education (High school),No,Yes,Standard showerhead,No,8,15,1,4.0,4,4,1,8,15,1,4.0,4,4,4,I imagined the experience in my head,Moderately vivid,7,15,1,4.0,4,4,4,149.1,0.0067069081153588,149.1,0.0067069081153588,149.1,0.0067069081153588,62
R_2QLNct4A1s6iFeb,Flevoland,Woman,4,Master’s degree or higher (HBO or WO),No,Yes,Rain shower,No,7,10,5,4.0,4,4,5,5,5,5,4.0,4,4,5,I imagined the experience in my head,Vivid,4,5,5,4.0,5,4,5,516.5,0.0019361084220716,516.5,0.0019361084220716,516.5,0.0019361084220716,38
R_2MWpsYN6uluPKI9,Flevoland,Woman,1,Vocational education (MBO),Yes,Yes,Water-saving showerhead,No,3,10,2,2.0,4,4,4,3,10,2,2.0,4,4,4,I imagined the experience in my head,Slightly vivid,3,10,4,2.0,4,4,4,894.7,0.0011176930814798,894.7,0.0011176930814798,2310.0,0.0004329004329004,72
